,timestamp,stored,actor,verb,object,result
1348,2023-03-10 11:53:22.345000+00:00,2023-03-10T11:53:22.345Z,Iphone 1,Placed,Earth,"{""score"":{""raw"":0}}"
1347,2023-03-10 11:53:24.823000+00:00,2023-03-10T11:53:24.823Z,Tablet 2,Placed,Earth,"{""score"":{""raw"":0}}"
1346,2023-03-10 11:53:25.299000+00:00,2023-03-10T11:53:25.299Z,Tablet 2,Swiped,Left,"{""score"":{""raw"":0}}"
1345,2023-03-10 11:53:27.055000+00:00,2023-03-10T11:53:27.055Z,Android4,Placed,Earth,"{""score"":{""raw"":0}}"
1344,2023-03-10 11:53:36.050000+00:00,2023-03-10T11:53:36.050Z,Android3,Placed,Earth,"{""score"":{""raw"":0}}"
1343,2023-03-10 11:53:36.606000+00:00,2023-03-10T11:53:36.606Z,Tablet 2,Swiped,Right,"{""score"":{""raw"":0}}"
1342,2023-03-10 11:53:38.100000+00:00,2023-03-10T11:53:38.100Z,Tablet 2,Swiped,Right,"{""score"":{""raw"":0}}"
1341,2023-03-10 11:53:40.011000+00:00,2023-03-10T11:53:40.011Z,Android1,Placed,Earth,"{""score"":{""raw"":0}}"
1340,2023-03-10 11:53:40.333000+00:00,2023-03-10T11:53:40.333Z,Android1,Swiped,Left,"{""score"":{""raw"":0}}"
1339,2023-03-10 11:53:43.099000+00:00,2023-03-10T11:53:43.099Z,Android1,Swiped,Left,"{""score"":{""raw"":0}}"
1338,2023-03-10 11:53:43.501000+00:00,2023-03-10T11:53:43.501Z,Iphone 1,Placed,Earth,"{""score"":{""raw"":0}}"
1337,2023-03-10 11:53:44.774000+00:00,2023-03-10T11:53:44.774Z,Android1,Swiped,Left,"{""score"":{""raw"":0}}"
1336,2023-03-10 11:53:45.145000+00:00,2023-03-10T11:53:45.145Z,Iphone 1,Swiped,Right,"{""score"":{""raw"":0}}"
1335,2023-03-10 11:53:46.621000+00:00,2023-03-10T11:53:46.621Z,Iphone 1,Placed,Earth,"{""score"":{""raw"":0}}"
1334,2023-03-10 11:53:47.858000+00:00,2023-03-10T11:53:47.858Z,Tablet1,Placed,Earth,"{""score"":{""raw"":0}}"
1333,2023-03-10 11:53:48.464000+00:00,2023-03-10T11:53:48.464Z,Android1,Swiped,Left,"{""score"":{""raw"":0}}"
1332,2023-03-10 11:53:48.719000+00:00,2023-03-10T11:53:48.719Z,Iphone 1,Swiped,Right,"{""score"":{""raw"":0}}"
1331,2023-03-10 11:53:49.704000+00:00,2023-03-10T11:53:49.704Z,Tablet1,Placed,Earth,"{""score"":{""raw"":0}}"
1330,2023-03-10 11:53:49.888000+00:00,2023-03-10T11:53:49.888Z,Iphone 1,Placed,Earth,"{""score"":{""raw"":0}}"
1329,2023-03-10 11:53:51.466000+00:00,2023-03-10T11:53:51.466Z,Tablet1,Placed,Earth,"{""score"":{""raw"":0}}"
